contract_id,address,static_severity,behavioral_score,correlation_score,fused_risk_score,triggered_rules,findings_matched,label
kg_b463f6306f54,0xAdversary0001,0.98,0.7503,0.95,0.8921,"CR1,CR5,CR7","FG1,FG3",0
kg_b463f6306f54,0xAdversary0007,0.98,0.7446,0.95,0.8901,"CR1,CR5,CR7","FG1,FG3",0
kg_eaaebcb18bf2,0xAdversary0007,0.98,0.6503,0.95,0.8571,"CR1,CR5,CR7","FG1,FG3",0
kg_59e2a243ff9b,0xAdversary0007,0.98,0.6416,0.95,0.8541,"CR1,CR5,CR7","FG1,FG3",0
kg_d260612bd717,0xAdversary0001,0.98,0.6409,0.95,0.8538,"CR1,CR5,CR7","FG1,FG3",0
kg_5b48b45c42ff,0xAdversary0007,0.98,0.6388,0.95,0.8531,"CR1,CR5,CR7","FG1,FG3",0
kg_eaaebcb18bf2,0xAdversary0001,0.98,0.619,0.95,0.8462,"CR1,CR5,CR7","FG1,FG3",0
kg_7d0c398264c2,0xAdversary0007,0.98,0.616,0.95,0.8451,"CR1,CR5,CR7","FG1,FG3",0
kg_d260612bd717,0xAdversary0007,0.98,0.6137,0.95,0.8443,"CR1,CR5,CR7","FG1,FG3",0
kg_5b48b45c42ff,0xAdversary0001,0.98,0.5989,0.95,0.8391,"CR1,CR5,CR7","FG1,FG3",0
kg_7d0c398264c2,0xAdversary0001,0.98,0.5971,0.95,0.8385,"CR1,CR5,CR7","FG1,FG3",0
kg_59e2a243ff9b,0xAdversary0001,0.98,0.594,0.95,0.8374,"CR1,CR5,CR7","FG1,FG3",0
kg_01585b6ec1bb,0xAdversary0007,0.98,0.5882,0.95,0.8354,"CR1,CR5,CR7","FG1,FG3",0
kg_5ed8e1877520,0xAdversary0007,0.98,0.5815,0.95,0.833,"CR1,CR5,CR7","FG1,FG3",0
kg_5ed8e1877520,0xAdversary0001,0.98,0.5815,0.95,0.833,"CR1,CR5,CR7","FG1,FG3",0
kg_e4747c2afa8c,0xAdversary0007,0.98,0.7582,0.7,0.8324,"CR1,CR7",FG1,0
kg_68aa9db55f07,0xAdversary0007,0.98,0.7582,0.7,0.8324,"CR1,CR7",FG1,0
kg_01585b6ec1bb,0xAdversary0001,0.98,0.577,0.95,0.8314,"CR1,CR5,CR7","FG1,FG3",0
kg_e4747c2afa8c,0xAdversary0001,0.98,0.751,0.7,0.8299,"CR1,CR7",FG1,0
kg_68aa9db55f07,0xAdversary0001,0.98,0.7335,0.7,0.8237,"CR1,CR7",FG1,0
kg_cb3b1d1a0122,0xAdversary0007,0.98,0.7008,0.7,0.8123,"CR1,CR7",FG1,0
kg_63f378ce703f,0xAdversary0007,0.98,0.6759,0.7,0.8036,"CR1,CR7",FG1,0
kg_63f378ce703f,0xAdversary0001,0.98,0.6736,0.7,0.8028,"CR1,CR7",FG1,0
kg_cb3b1d1a0122,0xAdversary0001,0.98,0.6646,0.7,0.7996,"CR1,CR7",FG1,0
kg_8c2ebbd677b0,0xAdversary0007,0.98,0.6166,0.7,0.7828,"CR1,CR7",FG1,0
kg_8c2ebbd677b0,0xAdversary0001,0.98,0.6016,0.7,0.7776,"CR1,CR7",FG1,0
kg_4145f01120ea,0xAdversary0001,0.98,0.5942,0.7,0.775,"CR1,CR7",FG1,0
kg_4145f01120ea,0xAdversary0007,0.98,0.5875,0.7,0.7726,"CR1,CR7",FG1,0
kg_7808cd544bf4,0xAdversary0001,0.98,0.5839,0.7,0.7714,"CR1,CR7",FG1,0
kg_7808cd544bf4,0xAdversary0007,0.98,0.5604,0.7,0.7631,"CR1,CR7",FG1,0
kg_b463f6306f54,0xAdversary0008,0.98,0.9161,0.2,0.7626,CR3,FG4,0
kg_e4747c2afa8c,0xAdversary0002,0.98,0.9074,0.2,0.7596,CR3,FG4,0
kg_e4747c2afa8c,0xAdversary0008,0.98,0.8992,0.2,0.7567,CR3,FG4,0
kg_b463f6306f54,0xAdversary0011,0.98,0.6468,0.55,0.7559,"CR1,CR5","FG1,FG3",0
kg_68aa9db55f07,0xAdversary0008,0.98,0.8706,0.2,0.7467,CR3,FG4,0
kg_68aa9db55f07,0xAdversary0002,0.98,0.857,0.2,0.7419,CR3,FG4,0
kg_b463f6306f54,0xAdversary0005,0.98,0.6052,0.55,0.7413,"CR1,CR5","FG1,FG3",0
kg_4219abdc067e,0xAdversary0007,0.8,0.7369,0.65,0.7404,"CR5,CR7",FG3,0
kg_4219abdc067e,0xAdversary0001,0.8,0.7365,0.65,0.7403,"CR5,CR7",FG3,0
kg_b463f6306f54,0xAdversary0006,0.98,0.5933,0.55,0.7372,"CR1,CR5","FG1,FG3",0
kg_b463f6306f54,0xAdversary0002,0.98,0.8424,0.2,0.7368,CR3,FG4,0
kg_b463f6306f54,0xAdversary0000,0.98,0.5743,0.55,0.7305,"CR1,CR5","FG1,FG3",0
kg_4145f01120ea,0xAdversary0008,0.98,0.8232,0.2,0.7301,CR3,FG4,0
kg_d260612bd717,0xAdversary0006,0.98,0.5725,0.55,0.7299,"CR1,CR5","FG1,FG3",0
kg_d260612bd717,0xAdversary0011,0.98,0.566,0.55,0.7276,"CR1,CR5","FG1,FG3",0
kg_d260612bd717,0xAdversary0005,0.98,0.5639,0.55,0.7269,"CR1,CR5","FG1,FG3",0
kg_59e2a243ff9b,0xAdversary0011,0.98,0.5641,0.55,0.7269,"CR1,CR5","FG1,FG3",0
kg_eaaebcb18bf2,0xAdversary0002,0.98,0.8133,0.2,0.7266,CR3,FG4,0
kg_59e2a243ff9b,0xAdversary0005,0.98,0.561,0.55,0.7259,"CR1,CR5","FG1,FG3",0
kg_5ed8e1877520,0xAdversary0002,0.98,0.8091,0.2,0.7252,CR3,FG4,0
kg_7d0c398264c2,0xAdversary0002,0.98,0.8023,0.2,0.7228,CR3,FG4,1
kg_63f378ce703f,0xAdversary0008,0.98,0.9421,0.0,0.7217,,,1
kg_5ed8e1877520,0xAdversary0005,0.98,0.5436,0.55,0.7197,"CR1,CR5","FG1,FG3",1
kg_d260612bd717,0xAdversary0000,0.98,0.5432,0.55,0.7196,"CR1,CR5","FG1,FG3",1
kg_72e56082535d,0xAdversary0007,0.8,0.6767,0.65,0.7193,"CR5,CR7",FG3,1
kg_eaaebcb18bf2,0xAdversary0006,0.98,0.5407,0.55,0.7187,"CR1,CR5","FG1,FG3",1
kg_de0a9f8c2bb3,0xAdversary0001,0.8,0.6745,0.65,0.7186,"CR5,CR7",FG3,1
kg_5b48b45c42ff,0xAdversary0006,0.98,0.5398,0.55,0.7184,"CR1,CR5","FG1,FG3",1
kg_01585b6ec1bb,0xAdversary0009,0.98,0.6821,0.35,0.7183,CR4,FG7,1
kg_de0a9f8c2bb3,0xAdversary0007,0.8,0.6732,0.65,0.7181,"CR5,CR7",FG3,1
kg_5b48b45c42ff,0xAdversary0000,0.98,0.5373,0.55,0.7176,"CR1,CR5","FG1,FG3",1
kg_59e2a243ff9b,0xAdversary0000,0.98,0.5364,0.55,0.7172,"CR1,CR5","FG1,FG3",1
kg_5b48b45c42ff,0xAdversary0005,0.98,0.5341,0.55,0.7165,"CR1,CR5","FG1,FG3",1
kg_ebe6f9a7e97a,0xAdversary0001,0.8,0.6649,0.65,0.7152,"CR5,CR7",FG3,1
kg_eaaebcb18bf2,0xAdversary0005,0.98,0.5305,0.55,0.7152,"CR1,CR5","FG1,FG3",1
kg_5ed8e1877520,0xAdversary0011,0.98,0.5283,0.55,0.7144,"CR1,CR5","FG1,FG3",1
kg_7b7f1764c212,0xAdversary0007,0.8,0.6603,0.65,0.7136,"CR5,CR7",FG3,1
kg_7d0c398264c2,0xAdversary0005,0.98,0.5241,0.55,0.7129,"CR1,CR5","FG1,FG3",1
kg_72e56082535d,0xAdversary0001,0.8,0.6577,0.65,0.7127,"CR5,CR7",FG3,1
kg_49a1d5c351b9,0xAdversary0007,0.8,0.6576,0.65,0.7127,"CR5,CR7",FG3,1
kg_eaaebcb18bf2,0xAdversary0000,0.98,0.519,0.55,0.7111,"CR1,CR5","FG1,FG3",1
kg_eaaebcb18bf2,0xAdversary0008,0.98,0.7665,0.2,0.7103,CR3,FG4,1
kg_0a9aebf5e803,0xAdversary0001,0.8,0.6505,0.65,0.7102,"CR5,CR7",FG3,1
kg_59e2a243ff9b,0xAdversary0006,0.98,0.5156,0.55,0.71,"CR1,CR5","FG1,FG3",1
kg_7d0c398264c2,0xAdversary0011,0.98,0.5151,0.55,0.7098,"CR1,CR5","FG1,FG3",1
kg_49a1d5c351b9,0xAdversary0001,0.8,0.6485,0.65,0.7095,"CR5,CR7",FG3,1
kg_01585b6ec1bb,0xAdversary0003,0.98,0.6556,0.35,0.7089,CR4,FG7,1
kg_a0fec05e38bb,0xAdversary0007,0.8,0.6459,0.65,0.7086,"CR5,CR7",FG3,1
kg_5b48b45c42ff,0xAdversary0011,0.98,0.5117,0.55,0.7086,"CR1,CR5","FG1,FG3",1
kg_4a4bc45fd925,0xAdversary0007,0.8,0.6428,0.65,0.7075,"CR5,CR7",FG3,1
kg_36cce373c38e,0xAdversary0001,0.8,0.6404,0.65,0.7066,"CR5,CR7",FG3,1
kg_36cce373c38e,0xAdversary0007,0.8,0.6404,0.65,0.7066,"CR5,CR7",FG3,1
kg_5ed8e1877520,0xAdversary0006,0.98,0.5056,0.55,0.7064,"CR1,CR5","FG1,FG3",1
kg_5ed8e1877520,0xAdversary0008,0.98,0.7531,0.2,0.7056,CR3,FG4,1
kg_850ce5cbe982,0xAdversary0001,0.8,0.6366,0.65,0.7053,"CR5,CR7",FG3,1
kg_5ed8e1877520,0xAdversary0000,0.98,0.5017,0.55,0.7051,"CR1,CR5","FG1,FG3",1
kg_eaaebcb18bf2,0xAdversary0011,0.98,0.5004,0.55,0.7046,"CR1,CR5","FG1,FG3",1
kg_7b7f1764c212,0xAdversary0001,0.8,0.6328,0.65,0.704,"CR5,CR7",FG3,1
kg_0a9aebf5e803,0xAdversary0007,0.8,0.6315,0.65,0.7035,"CR5,CR7",FG3,1
kg_ebe6f9a7e97a,0xAdversary0007,0.8,0.6293,0.65,0.7028,"CR5,CR7",FG3,1
kg_850ce5cbe982,0xAdversary0007,0.8,0.6282,0.65,0.7024,"CR5,CR7",FG3,1
kg_4a4bc45fd925,0xAdversary0001,0.8,0.628,0.65,0.7023,"CR5,CR7",FG3,1
kg_a0fec05e38bb,0xAdversary0001,0.8,0.6272,0.65,0.702,"CR5,CR7",FG3,1
kg_4145f01120ea,0xAdversary0002,0.98,0.7363,0.2,0.6997,CR3,FG4,1
kg_7d0c398264c2,0xAdversary0008,0.98,0.7356,0.2,0.6995,CR3,FG4,1
kg_01585b6ec1bb,0xAdversary0011,0.98,0.4782,0.55,0.6969,"CR1,CR5","FG1,FG3",1
kg_68aa9db55f07,0xAdversary0005,0.98,0.6569,0.3,0.6969,CR1,FG1,1
kg_7d0c398264c2,0xAdversary0000,0.98,0.4685,0.55,0.6935,"CR1,CR5","FG1,FG3",1
kg_68aa9db55f07,0xBenign0015,0.98,0.8568,0.0,0.6919,,,1
kg_01585b6ec1bb,0xAdversary0005,0.98,0.458,0.55,0.6898,"CR1,CR5","FG1,FG3",1
kg_7d0c398264c2,0xAdversary0006,0.98,0.4504,0.55,0.6872,"CR1,CR5","FG1,FG3",1
kg_63f378ce703f,0xAdversary0011,0.98,0.6261,0.3,0.6861,CR1,FG1,1
kg_8c2ebbd677b0,0xAdversary0008,0.98,0.8385,0.0,0.6855,,,1
kg_e4747c2afa8c,0xAdversary0005,0.98,0.6239,0.3,0.6854,CR1,FG1,1
kg_01585b6ec1bb,0xAdversary0006,0.98,0.4423,0.55,0.6843,"CR1,CR5","FG1,FG3",1
kg_63f378ce703f,0xAdversary0002,0.98,0.8319,0.0,0.6832,,,1
kg_01585b6ec1bb,0xAdversary0000,0.98,0.4361,0.55,0.6821,"CR1,CR5","FG1,FG3",1
kg_68aa9db55f07,0xAdversary0011,0.98,0.6095,0.3,0.6803,CR1,FG1,1
kg_cb3b1d1a0122,0xAdversary0011,0.98,0.6063,0.3,0.6792,CR1,FG1,1
kg_59e2a243ff9b,0xAdversary0008,0.98,0.8153,0.0,0.6773,,,1
kg_e4747c2afa8c,0xAdversary0011,0.98,0.5953,0.3,0.6754,CR1,FG1,1
